Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2019,"5         ",,,,,,,,,,0.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2017,"6         ",Female,11,Right-Handed,145,21,138,1,Bus,20,0.469,47,Swimming,2,3,4,1,6,5,21,"Same length",62,57,"Index finger",June,Spring,No,No,Soups,Water,Science,9,8,5,"Yes - broadband connection","In person",5,7,9,1,11,9,7,2,1,3,10,4,0,2,Some,"Undergraduate degree",Other,Fly,Happy,Relative,"International aid"
USA,NY,2017,"6         ",Male,11,Right-Handed,152,22,151,2,Bus,10,.55,46,Soccer,1000,1000,1000,1000,0,0,25,,60,70,"Ring finger",October,Winter,Yes,No,Meat,Water,Art,10,8,3,"Yes - broadband connection",E-mail,0,0,32,0,10,7,21,5,0,0,0,10,0,0,None,"Graduate degree",Pop,Invisibility,Happy,Actor,Health
USA,NY,2023,"12        ",Female,17,Right-Handed,158,23,153,1,Bus,30,.513,46,Walking/Hiking,800,700,600,700,500,800,24,"Left foot",7.9,7.7,"Index finger",December,Summer,No,No,Desserts,Coffee,"Social studies",,9,5,"Yes - broadband connection","In person",5,20,10,1,12,3,1,0,3,3,5,5,0,5,"A lot","Graduate degree","Rap/Hip hop",,Happy,Relative,"Education/Youth development"
USA,NY,2016,"12        ",Male,17,Right-Handed,175.2,27.3,187.9,1,Walk,15,.315,40,"Hockey (Ice)",500,500,500,500,1000,1000,27.3,"Same length",76.2,76.2,"Same length",August,Winter,No,No,Meat,Tea,Science,4,4,4,"Yes - broadband connection","Text messaging",250,275,0,0,0,0,10,0,100,100,50,10,10,0,None,"Graduate degree","Rap/Hip hop",Fly,Rich,"Sports person",Health
USA,NY,2020,"6         ",Female,12,Right-Handed,163,23,62,2,Car,"12 ",1.363,36,Swimming,749,524,642,144,43,100,23,"Left foot",95,76,"Index finger",February,Winter,No,Yes,Soups,Milk,"Social studies","8 hrs","7 hrs",4,"Yes - broadband connection","In person",3,7,1,0,1,3,10,1,2,1,1,3,0,1,"Very little","Graduate degree","Rock and roll",Telepathy,Happy,Friend,"Education/Youth development"
USA,NY,2018,"9         ",Female,14,Right-Handed,5,9,7,3,Bus,10,0.897,60,Athletics,900,800,700,700,800,1000,8,"Right foot",30,25,"Index finger",August,Summer,Yes,No,Pizza/Pasta,Juice,"Mathematics and statistics",6,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,8,4,1,2,6,0,0,1,2,1,1,0,2,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,"Doctor or nurse",Religious
USA,NY,2019,"10        ",Male,16,Left-Handed,172,25,175,1,Bus,20,.402,72,"Football (American)",400,200,500,300,1000,1000,22CM,"Right foot","70 MM",60MM,"Index finger",December,Fall,No,No,Meat,"Sports drink",English,8,9,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,10,7,12,8,4,12,8,4,10,10,14,0,5,"A lot","Undergraduate degree","Rap/Hip hop","Super strength",Rich,"Sports person","Arts, culture, sports"
USA,NY,2018,"12        ",Male,17,Right-Handed,173,25,179,2,Car,5,0.41,42,Soccer,898,786,856,845,316,668,25,"Same length",70,75,"Ring finger",March,Summer,No,No,Meat,Water,Other,6,8,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,30,5,0.5,3,2,12,2,4,1,4,4,1,3,"Very little","Undergraduate degree","Rap/Hip hop",Invisibility,Happy,"Coach or club leader",Health
USA,NY,2013,"12        ",Female,16,Right-Handed,158,24,156,3,"Rail (Train/Tram/Subway)",45,.409,50,Bowling,600,500,750,650,850,850,24,"Same length",850,950,"Ring finger",September,Fall,Yes,No,Desserts,Juice,"Social studies",6,8,4,"Yes - broadband connection","In person",0,0,1,1,5,2,1,1,2,1,14,2,0,3,"A lot","Undergraduate degree","Rhythm and blues (R&B)","Freeze time",Happy,Other,Health
USA,NY,2020,"6         ",Male,12,Right-Handed,145,20,137,1,Walk,25,.428,54,"Football (American)",1000,43,70,53,294,754,20,"Same length",80,70,"Index finger",March,Summer,No,No,Other,Water,"Physical education",9,10,3,"Yes - broadband connection","Text messaging",0,50,0,1,0,69,7,57,0,.5,25,5,0,1,Some,"Undergraduate degree","Rap/Hip hop",Fly,Rich,Relative,Environment
USA,NY,2017,"6         ",Male,11,Right-Handed,"141 ",22.5,131,1,Bus,35,0.134,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
