Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2019,"8         ",Female,14,Right-Handed,172.7,24,,180,Car,5,.374,42,Tennis,519,455,497,449,257,428,24,"Same length",80,70,"Index finger",August,Spring,No,No,Pizza/Pasta,Water,History,8,10,4,"Yes - other","Text messaging",20,250,5,5,7,9,2,0,6,4,8,4,0,5,"A lot",Other,Pop,"Freeze time",Famous,Actor,"Wildlife, animals"
USA,TX,2018,"12        ",Female,17,Right-Handed,158,30,150,2,Bus,5,.62,40,None,9998,9998,1000,9997,0,50,30,"Same length",70,75,"Ring finger",April,Winter,Yes,No,"Rice/Noodle dishes",Water,Science,4,6,8,"Yes - broadband connection","Text messaging",200,200,5,1,10,50,50,1,6,6,8,3,20,10,"A lot","Graduate degree",Other,Telepathy,Happy,"Doctor or nurse",Health
USA,TX,2021,"12        ",Male,17,Left-Handed,188,25.67,172,1,Car,3,.329,29,Athletics,600,250,150,300,500,400,26.68,"Left foot",8.25,7.75,"Index finger",May,Spring,Yes,No,Meat,Water,"Mathematics and statistics",7,7,3,"Yes - broadband connection","In person",23,38,20,2,10,5,12,1,2,1,3,1,12,3,Some,"Graduate degree",Other,Fly,Happy,Relative,"Education/Youth development"
USA,TX,2024,"12        ",Male,16,Right-Handed,6'2,,187.9,1,Car,12,0.341,65,Basketball,1000,1000,1000,1000,500,750,30.48,"Left foot",10.6,7.62,"Ring finger",April,Fall,Yes,No,Pizza/Pasta,Water,"Physical education",8,8,3,"Yes - other","Cell phone",7,10,25,2,1,92,30,2,16,14,28,32,0,5,"Very little",,"Rap/Hip hop",Telepathy,Happy,Relative,"Arts, culture, sports"
USA,TX,2015,"12        ",Female,16,Right-Handed,152.4,6,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2019,"10        ",Male,14,Right-Handed,175,25,180,2,Car,20,0.699,42,Soccer,800,700,800,800,500,600,25,"Same length",86,79,"Ring finger",June,Summer,No,No,Meat,Water,"Mathematics and statistics",9,8,4,"Yes - broadband connection","Internet chat or instant messaging",30,25,1,1,5,5,2,2,10,1,50,0,0,2,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Friend,Health
USA,TX,2014,"4         ",Female,10,Right-Handed,,,,1,Car,10,,,Basketball,,,,,,,,,,,,November,Spring,No,No,Pizza/Pasta,Milk,Science,10,14,6,"Yes - other","In person",0,0,7,0,1,4,0,0,0,0,0,5,0,0,None,"Graduate degree",Pop,Fly,Healthy,,
USA,TX,2023,"12        ",Female,16,Left-Handed,5’4,6,120,2,Bus,5,28.30,53,"Martial Arts",100,50,100,100,30,50,6,"Same length",3,6,"Same length",May,Winter,No,No,Seafood,Water,Art,7,3,4,"Yes - other","In person",100,10,1,3,0,1,2,1,2,2,1,1,1,1,"A lot","Undergraduate degree","Punk rock",Fly,Healthy,Friend,Health
USA,TX,2018,"12        ",Female,17,Right-Handed,170,23,146,1,Car,8,.736,44,Other,900,900,950,900,850,800,22,"Left foot",72,78,"Ring finger",January,Winter,No,No,Meat,Tea,Science,6.5,8,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,15,10,3,5,10,5,1,8,2,3,6,14,3,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Wildlife, animals"
USA,TX,2021,"6         ",Male,11,Right-Handed,160.6,23,158,1,Car,15,0.365,"73 ","Hockey (Ice)",1000,1000,738,877,214,508,24,"Left foot",65,65,"Same length",June,Summer,Yes,No,Other,Water,Science,8-10,12,4,"Yes - other","Text messaging",0,0,7,.5,2,27,9,5,3,2,5,5,0,2,Some,"Graduate degree",Country,Telepathy,Happy,,Health
USA,TX,2019,"12        ",Female,15,,25,25,9,1,Bus,20,10,15,None,1000,1000,1000,1000,1000,1000,25,"Same length",7,8,"Index finger",November,Summer,No,No,Pizza/Pasta,"Powdered drink",English,10,13,3,"Yes - dial-up connection","Cell phone",10,11,0,30min,1h30m,2h,0,0,20min,10min,0,0,0,1h,None,Other,Other,"Super strength",Happy,"Doctor or nurse",Other
USA,TX,2013,"5         ",Male,11,Right-Handed,145,149,147,2,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2013,"12        ",Female,17,Right-Handed,150.7,26,150,1,Car,25,0.335,55,Basketball,900,500,700,900,900,1000,26,"Same length",70,75,"Ring finger",December,Summer,No,No,Fruit,Water,Other,6,9,4,"Yes - broadband connection","Text messaging",35,40,24,12,1,12,3,1,30,15,25,1,0,1,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Actor,Health
USA,TX,2019,"12        ",Female,21,Right-Handed,5’5,"7 1/2",10,1,Bus,20,.916,15,None,1000,1000,900,1000,1000,1000,"7 1/2","Same length",10,8,"Ring finger",July,Winter,Yes,No,"Rice/Noodle dishes","Soft drink (non-caffeinated)",Science,6,6,1,"Yes - other",E-mail,39,60,1,2,1,3,1,1,2,3,2,1,19,1,"A lot","Graduate degree",Techno/Electronic,"Freeze time",Healthy,"Doctor or nurse","Wildlife, animals"
USA,TX,2024,"12        ",Female,18,Ambidextrous,170.7,23,148,1,Car,17,0.369,35,Other,500,350,1000,750,100,250,24.5,"Left foot",6,6.5,"Ring finger",January,Summer,No,No,Seafood,Water,"Physical education",7,12,4,"Yes - other","In person",60,70,8,20,0,4,8,0,10,15,15,3,20,2,Some,Other,Country,Telepathy,Healthy,Friend,"Education/Youth development"
USA,TX,2013,"11        ",Male,16,Right-Handed,167,25,174,1,Car,10,.33,42,Other,,,,,,,24,"Right foot",74,76,"Ring finger",June,Fall,Yes,No,Seafood,Other,Music,8,10,5,"Yes - broadband connection","In person",3,4,4,.5,2,1,4,4,.5,1,2,5,0,2,Some,"Graduate degree","Rock and roll","Super strength",Healthy,Other,"International aid"
USA,TX,2017,"11        ",Male,16,Right-Handed,164,26,134,1,Bus,20,.4,45,Athletics,1000,750,1000,1000,500,1000,25,"Left foot",100,70,"Index finger",October,Fall,No,No,Meat,Water,Science,9,10,4,"Yes - broadband connection","Internet chat or instant messaging",20,30,4,8,21,16,6,2,5,12,120,14,0,11,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Sports person",Health
