Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2014,"12        ",Male,17,Right-Handed,172.7,26.67,50,2,Car,7,.768,60,Tennis,800,850,1000,800,1000,1000,26.67,"Same length",,600,"Ring finger",April,Winter,Yes,No,Pizza/Pasta,Water,English,5,9,3,"Yes - broadband connection","Text messaging",120,150,5,0,25,1,2,0,3,3,3,4,0,4,"A lot","Graduate degree",Other,Fly,Happy,"Musician or singer",Health
USA,CA,2016,"4         ",Female,17,Right-Handed,160,23,162,1,Car,15,0.435,38,Swimming,400,500,500,600,600,700,24,"Left foot",7,6,"Ring finger",May,Fall,Yes,Yes,Vegetables,Water,Science,7,8,5,"Yes - broadband connection","Text messaging",100,100,7,0,8,10,1,0,5,7,25,4,0,2,Some,"Undergraduate degree",Pop,Fly,Happy,"Business person","Education/Youth development"
USA,CA,2020,"11        ",Male,16,Right-Handed,170.2,23,181,2,Bus,"90 ",.303,47,Soccer,1000,829,1000,733,257,551,23,"Same length",105,90,"Same length",February,Spring,No,No,Seafood,Water,"Mathematics and statistics",7,6,4,"Yes - other","Text messaging",100,101,0,0,0,0,0,0,0,0,0,0,0,0,"Very little","Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,"Wildlife, animals"
USA,CA,2015,"12        ",Female,17,Right-Handed,177.8,25,174,1,Car,6,.505,54,Basketball,480,273,824,545,834,1000,24,"Right foot",77.5,75,"Index finger",October,Fall,No,No,Meat,Water,"Mathematics and statistics",7,10,4,"Yes - other","Text messaging",50,79,12,1,4,14,11,0,8,2,0,4,0,2,"A lot","Undergraduate degree",Country,Invisibility,Healthy,Relative,"Education/Youth development"
USA,CA,2018,"8         ",Male,13,Right-Handed,159.5,22.5,157,1,Car,20,0.129,39,Gymnastics,400,200,500,100,300,1000,24,"Left foot",75,82,"Ring finger",November,Summer,No,No,Pizza/Pasta,Water,"Mathematics and statistics",8,12,6,"Yes - broadband connection","In person",136,215,72,1,1,24,53,14,5,13,24,3,0,24,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Religious figure",Religious
USA,CA,2013,"12        ",Female,18,Right-Handed,158,24,,2,,20,0.6,55,Swimming,1000,1000,1000,1000,500,500,23.8,"Left foot",195,192,"Same length",May,Fall,No,No,"Rice/Noodle dishes",Coffee,Science,6,12,5,"Yes - broadband connection","In person",0,0,5,1,3,2,5,0,1,0,4,1,6,2,Some,"Graduate degree","Rock and roll",,Happy,Relative,Health
USA,CA,2016,"12        ",Male,17,Right-Handed,177.8,27.9,180,2,Car,"20 ",.695,76,Basketball,700,500,500,800,1000,1000,27.9,"Same length",140,160,"Ring finger",September,Fall,Yes,No,Meat,Water,History,6,4,3,"Yes - other","Text messaging",100,60,8,1,20,10,10,1,15,80,40,6,0,3,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,"Musician or singer","International aid"
USA,CA,2019,"12        ",Male,23,Right-Handed,168,23,171,1,Car,35,0.336,40,Other,1000,1000,1000,1000,500,750,24,"Same length",75,70,"Index finger",February,Fall,No,No,Fruit,Water,"Mathematics and statistics",5,8,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",200,200,5,0,10,2,6,20,5,1,25,0,20,0,Some,"Graduate degree",Other,Fly,Rich,Teacher,"Arts, culture, sports"
USA,CA,2015,"6         ",Male,11,Right-Handed,157,25,153,1,Car,10,0.363,51,Baseball/Softball,1000,1000,1000,1000,0,53,25,"Same length",70,70,"Same length",June,Summer,No,No,Fruit,Water,"Mathematics and statistics",9,7,5,"Yes - other",Telephone,0,0,30,0,2,2,9,3,0,0,3,6,0,2,"Very little","Graduate degree",Gospel,"Freeze time",Healthy,"Religious figure",Religious
USA,CA,2023,"12        ",Female,17,Right-Handed,161,22,143,2,Bus,23,0.327,36,Other,999,900,460,760,500,500,22,"Same length",75,80,"Ring finger",January,Summer,Yes,No,Fruit,Tea,Science,6,9,2,"Yes - broadband connection","In person",20,13,2,4,2,1,4,2,7,2,10,8,6,7,Some,"Graduate degree",Classical,Telepathy,Happy,Relative,Health
USA,CA,2016,"12        ",Female,17,Right-Handed,165,21,157,2,Car,30,0.7,40,Walking/Hiking,1000,1000,1000,1000,1000,1000,20,"Right foot",80,70,"Index finger",February,Winter,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",8,7,5,"Yes - broadband connection","Text messaging",250,300,4,2,4,7,3,2,7,7,3,3,0,2,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,"Education/Youth development"
