Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
CA,Male,Right-Handed,Other,500,April,Water,Computers and technology,4,2,2,Graduate degree
CA,Male,Ambidextrous,Martial Arts,775,February,Water,Computers and technology,15,0,1,Graduate degree
CA,Female,Right-Handed,Bowling,1000,July,Water,Physical education,11,0,1,Graduate degree
CA,Female,Right-Handed,Basketball,500,September,Sports drink,Mathematics and statistics,9,0,5,Graduate degree
CA,Female,Right-Handed,Dancing,800,July,Coffee,Social studies,9,8,0,Undergraduate degree
CA,Male,Right-Handed,Lacrosse,800,April,Water,History,10,0,0,Graduate degree
CA,Male,Right-Handed,Baseball/Softball,679,July,Water,Mathematics and statistics,7,0,4,Undergraduate degree
CA,Male,Right-Handed,Swimming,701,September,Water,Science,9,0,1,Undergraduate degree
CA,Female,Right-Handed,Skateboarding/Rollerblading,1000,August,Water,Science,10,7,1,Some college
CA,Male,Right-Handed,Walking/Hiking,455,December,Water,Computers and technology,8,0,3,Undergraduate degree
CA,Male,Right-Handed,Basketball,7,April,Water,Physical education,8,0,1,Graduate degree
CA,Male,Right-Handed,Walking/Hiking,1000,March,Water,Science,9,0,2,Graduate degree
CA,Male,Right-Handed,Soccer,0,June,Water,Art,12,0,10,Undergraduate degree
CA,Male,Right-Handed,Running/Jogging,1000,August,Water,Physical education,4,30,10,Less than high school
CA,Female,Right-Handed,Other,500,May,Coffee,Science,10,0,1,Graduate degree
CA,Female,Left-Handed,Basketball,800,September,Water,Science,9,0,2,Undergraduate degree
CA,Male,Right-Handed,Other,800,October,Water,Computers and technology,12,0,2,Graduate degree
CA,Female,Right-Handed,Dancing,900,January,Water,Science,9,0,4,Graduate degree
CA,Male,Right-Handed,Other,1000,April,Water,Science,9,0,2,Graduate degree
CA,Male,Right-Handed,Swimming,900,July,Water,Music,6,0,10,Graduate degree
CA,Female,Right-Handed,Basketball,1000,June,Tea,Music,10,2,4,Graduate degree
CA,Male,Right-Handed,Walking/Hiking,850,October,Water,Computers and technology,9,0,7,Graduate degree
CA,Female,Right-Handed,Dancing,738,December,Water,Art,8,4,0,Graduate degree
CA,Female,Right-Handed,Running/Jogging,800,January,Water,Languages,8,7,5,Graduate degree
CA,Male,Right-Handed,Dancing,800,December,Water,Science,8,0,0,Graduate degree
CA,Female,Right-Handed,Golf,500,January,Water,Art,8,3,5,Graduate degree
CA,Male,Right-Handed,Football (American),900,June,Water,Mathematics and statistics,8,5,10,Graduate degree
CA,Female,Right-Handed,Other,1000,February,Water,Science,9,0,0,Graduate degree
CA,Male,Right-Handed,Football (American),700,January,Water,Music,5,60,4,Graduate degree
CA,Female,Right-Handed,Baseball/Softball,80,May,Water,Art,11,0,1,Some college
CA,Male,Right-Handed,Soccer,700,April,Water,Physical education,11,0,2,Undergraduate degree
CA,Male,Right-Handed,Athletics,700,November,Water,Computers and technology,10,0,0,Graduate degree
CA,Female,Right-Handed,Swimming,700,October,Water,English,12,0,6,Graduate degree
CA,Male,Right-Handed,Hockey (Ice),652,September,Water,History,8,19,5,Graduate degree
CA,Male,Right-Handed,Baseball/Softball,1,April,Sports drink,Physical education,6,0,1,Graduate degree
CA,Male,Ambidextrous,Football (American),417,January,Water,Other,7,1,1,Graduate degree
CA,Male,Right-Handed,Football (American),500,April,Water,Physical education,9,0,5,Graduate degree
CA,Male,Right-Handed,Other,1000,March,Energy drink,Mathematics and statistics,10,0,5,Graduate degree
CA,Male,Right-Handed,Football (American),700,October,Water,Social studies,7,0,0,Graduate degree
CA,Female,Right-Handed,Baseball/Softball,800,September,Water,English,6,0,2,Graduate degree
CA,Female,Right-Handed,Walking/Hiking,791,January,Water,Mathematics and statistics,10,0,1,Graduate degree
CA,Female,Left-Handed,Swimming,332,May,Water,Music,10,2,0,Other
CA,Female,Right-Handed,Football (American),3,June,Other,English,10,5,7,Graduate degree
CA,Female,Right-Handed,Soccer,1000,April,Water,Art,10,0,1,Graduate degree
CA,Male,Right-Handed,Football (American),679,March,Water,Physical education,6,0,3,Other
CA,Male,Right-Handed,Basketball,588,May,Water,Other,8,0,0,Graduate degree
CA,Female,Right-Handed,Basketball,754,May,Water,Music,9,0,0,Undergraduate degree
CA,Female,Right-Handed,Swimming,1000,September,Tea,History,8,0,2,Graduate degree
CA,Male,Right-Handed,Baseball/Softball,519,August,Water,History,8,2,7,Graduate degree
CA,Male,Right-Handed,Table Tennis,1000,April,Water,Mathematics and statistics,9,0,0,Graduate degree
CA,Male,Right-Handed,Tennis,100,April,Water,Art,12,8,2,Graduate degree
CA,Female,Right-Handed,Other,1000,August,Energy drink,Art,8,5,2,Graduate degree
CA,Female,Right-Handed,Swimming,800,December,Water,English,8,0,5,Graduate degree
CA,Female,Right-Handed,Soccer,100,September,Water,Science,10,1,1,Undergraduate degree
CA,Female,Right-Handed,Walking/Hiking,700,October,Coffee,Social studies,7,0,1,Graduate degree
CA,Male,Right-Handed,Athletics,0,August,Water,Computers and technology,9,0,5,Graduate degree
CA,Male,Right-Handed,Tennis,767,January,Water,Mathematics and statistics,10,0,3,Undergraduate degree
CA,Female,Left-Handed,Martial Arts,90,September,Juice,Art,11,0,3,Graduate degree
